month,total_events,unique_municipalities,earthquake_events,affected_families_total,destroyed_houses_total,damaged_houses_total,destroyed_aqueducts_total,affected_roads_total,affected_bridges_total,affected_educational_establishments_total,affected_hectares_total,injuries_total,missing_persons_total,deaths_total,human_impact_total,housing_impact_total,infrastructure_impact_total,geophysical_events,hydrometeorological_events,infrastructure_service_events,other_events,technological_anthropogenic_events
2021-08-01,22,18,0,166.0,0.0,161.0,6,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,161.0,26.0,3,14,5,0,0
2021-09-01,9,9,0,436.0,2.0,433.0,0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,435.0,5.0,2,4,1,0,2
2021-10-01,15,13,0,55.0,0.0,55.0,0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,8.0,2,10,2,0,1
2021-11-01,13,10,0,419.0,10.0,419.0,0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,429.0,11.0,2,11,0,0,0
2021-12-01,2,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0
2022-01-01,12,12,0,0.0,0.0,0.0,0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12,0
2022-02-01,20,16,0,660.0,0.0,60.0,0,2.0,0.0,1.0,64.0,9.0,0.0,0.0,9.0,60.0,3.0,3,2,0,14,1
2022-03-01,12,9,0,53.0,0.0,31.0,0,8.0,0.0,0.0,2.0,23.0,0.0,6.0,29.0,31.0,8.0,5,3,2,1,1
2022-04-01,21,15,0,2244.423,0.0,710.0,0,27.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,710.0,35.0,5,16,0,0,0
2022-05-01,17,15,0,335.0,7.0,92.0,0,27.0,19.0,2.0,0.0,6.0,1.0,6.0,13.0,99.0,48.0,5,12,0,0,0
2022-06-01,14,13,0,474.0,0.0,361.0,1,9.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,361.0,12.0,5,9,0,0,0
2022-07-01,7,7,0,100.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,3,0,0,0
2022-08-01,12,10,0,130.0,0.0,78.0,0,8.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,78.0,9.0,5,6,1,0,0
2022-09-01,21,18,1,424.0,0.0,407.0,0,17.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,407.0,21.0,7,13,0,1,0
2022-10-01,31,26,0,847.0,18.0,749.0,2,18.0,2.0,2.0,0.0,26.0,2.0,5.0,33.0,767.0,24.0,9,20,0,0,2
2022-11-01,29,20,0,700.0,22.0,672.0,4,23.0,6.0,0.0,30.0,3.0,0.0,1.0,4.0,694.0,33.0,12,16,0,1,0
2022-12-01,2,2,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0
2023-01-01,9,8,0,0.0,0.0,0.0,0,2.0,0.0,0.0,74.0,2.0,0.0,0.0,2.0,0.0,2.0,2,2,0,5,0
2023-02-01,26,21,1,6.0,0.0,6.0,0,1.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,6.0,1.0,1,7,0,18,0
2023-03-01,11,9,1,238.0,8.0,123.0,0,6.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,131.0,8.0,5,6,0,0,0
2023-04-01,18,16,0,152.0,0.0,75.0,2,20.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,75.0,33.0,7,9,0,1,1
2023-05-01,17,14,0,268.0,5.0,101.0,2,16.0,15.0,3.0,5.0,0.0,0.0,1.0,1.0,106.0,36.0,7,9,0,1,0
2023-06-01,10,9,0,455.0,0.0,15.0,0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,0,10,0,0,0
2023-07-01,11,11,0,69.0,0.0,69.0,0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,69.0,1.0,1,8,0,2,0
2023-08-01,17,15,0,1203.0,0.0,920.0,0,4.0,0.0,0.0,35.0,0.0,0.0,1.0,1.0,920.0,4.0,2,13,0,2,0
2023-09-01,5,5,1,0.0,0.0,0.0,0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,4,0
2023-10-01,15,12,0,303.0,6.0,299.0,1,6.0,0.0,5.0,62.0,6.0,0.0,0.0,6.0,305.0,12.0,4,9,0,2,0
