month,Earthquake,Erosion,Explosion,Flash flood,Flood,Floods,Floods and landslides,Forest fire,Frost,Gas leak,Hailstorm,Landslides,Mass movement,Mine explosion,Mining accident,Oil spill,Overflow flood,Road closure,Rockfall,Structural fire,Supply shortage,Thunderstorms,Torrential flash flood,Vehicle accident,Windstorm
2021-08-01,0,0,0,5,0,3,0,0,0,0,2,3,0,0,0,0,0,5,0,0,0,3,1,0,0
2021-09-01,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0
2021-10-01,0,1,0,2,0,3,0,0,0,0,3,1,0,0,0,0,0,2,0,1,0,1,0,0,1
2021-11-01,0,0,0,1,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2021-12-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,0,0,1,0,0,0,0,14,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-01,0,0,0,0,0,1,0,1,0,0,1,2,3,0,0,0,0,2,0,0,0,1,0,1,0
2022-04-01,0,0,0,5,0,10,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0
2022-05-01,0,0,0,5,1,2,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,2,0,0
2022-06-01,0,0,0,2,0,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0
2022-07-01,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0
2022-08-01,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,3,0,0,1
2022-09-01,1,0,0,6,0,2,0,1,0,0,2,2,4,0,0,0,2,0,0,0,0,0,0,0,1
2022-10-01,0,0,1,5,0,10,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,3,2,0,0
2022-11-01,0,0,0,9,0,3,0,1,0,0,1,5,6,0,0,0,0,0,1,0,0,2,1,0,0
2022-12-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,0,0,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,1,0,0,1,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-03-01,1,0,0,1,0,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,0,0,0,2,0,1,0,1,0,0,1,0,6,0,0,0,0,0,1,1,0,1,3,0,1
2023-05-01,0,0,0,1,0,5,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,3,0,0
2023-06-01,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1
2023-07-01,0,1,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1
2023-08-01,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,11,1,0,0
2023-09-01,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,0,0,0,1,0,2,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,4,0,0,0
2023-11-01,0,0,0,5,0,1,0,1,0,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0
2023-12-01,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-01-01,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
2024-02-01,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
2024-03-01,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01,0,0,0,6,0,5,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,1,5,0,0
2024-06-01,0,0,0,2,0,3,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,0,0,0
2024-07-01,0,0,0,2,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0
