context,original_value,normalized_value,english_value,translation_strategy,matched_terms
alerts,ROJA,roja,Red,exact_dictionary_match,roja
alerts,,,Not reported,missing_value,
environmental_authority,CAS,cas,CAS Environmental Authority,exact_dictionary_match,cas
environmental_authority,CDMB,cdmb,CDMB Environmental Authority,exact_dictionary_match,cdmb
environmental_authority,cas,cas,CAS Environmental Authority,exact_dictionary_match,cas
environmental_authority,,,Not reported,missing_value,
event_status,ACTIVO,activo,Active,exact_dictionary_match,activo
event_status,ATENDIDO,atendido,Responded to,exact_dictionary_match,atendido
event_status,,,Not reported,missing_value,
event_type,ACCIDENTE MINERO,accidente minero,Mining accident,exact_dictionary_match,accidente minero
event_type,ACCIDENTE VEHICULAR,accidente vehicular,Vehicle accident,exact_dictionary_match,accidente vehicular
event_type,AVENIDA TORRENCIAL,avenida torrencial,Torrential flash flood,exact_dictionary_match,avenida torrencial
event_type,CAIDA DE ROCAS,caida de rocas,Rockfall,exact_dictionary_match,caida de rocas
event_type,CALAMIDAD PUBLICA,calamidad publica,Public emergency,exact_dictionary_match,calamidad publica
event_type,CIERRE DE VIA,cierre de via,Road closure,exact_dictionary_match,cierre de via
event_type,COLAPSO DE ESTRUCTURA,colapso de estructura,Structural collapse,exact_dictionary_match,colapso de estructura
event_type,COLAPSO DE MINA,colapso de mina,Mine collapse,exact_dictionary_match,colapso de mina
event_type,CRECIENTE SUBITA,creciente subita,Flash flood,exact_dictionary_match,creciente subita
event_type,DERRAME DE CRUDO,derrame de crudo,Oil spill,exact_dictionary_match,derrame de crudo
event_type,DESABASTECIMIENTO,desabastecimiento,Supply shortage,exact_dictionary_match,desabastecimiento
event_type,DESBORDAMIENTO,desbordamiento,Overflow flood,exact_dictionary_match,desbordamiento
event_type,DESLIZAMIENTOS,deslizamientos,Landslides,exact_dictionary_match,deslizamientos
event_type,EROSION,erosion,Erosion,exact_dictionary_match,erosion
event_type,EXPLOSION,explosion,Explosion,exact_dictionary_match,explosion
event_type,EXPLOSION DE MINA,explosion de mina,Mine explosion,exact_dictionary_match,explosion de mina
event_type,FUGA DE GAS,fuga de gas,Gas leak,exact_dictionary_match,fuga de gas
event_type,GRANIZADA,granizada,Hailstorm,exact_dictionary_match,granizada
event_type,HELADAS,heladas,Frost,exact_dictionary_match,heladas
event_type,INCENDIO ESTRUCTURAL,incendio estructural,Structural fire,exact_dictionary_match,incendio estructural
event_type,INCENDIO FORESTAL,incendio forestal,Forest fire,exact_dictionary_match,incendio forestal
event_type,INUDACIONES,inudaciones,Floods,exact_dictionary_match,inudaciones
event_type,INUNDACION,inundacion,Flood,exact_dictionary_match,inundacion
event_type,INUNDACIONES,inundaciones,Floods,exact_dictionary_match,inundaciones
event_type,INUNDACIONES Y DESLIZAMIENTOS,inundaciones y deslizamientos,Floods and landslides,exact_dictionary_match,inundaciones y deslizamientos
event_type,MOVIMIENTO EN MASA,movimiento en masa,Mass movement,exact_dictionary_match,movimiento en masa
event_type,REMOCION EN MASA,remocion en masa,Mass movement,exact_dictionary_match,remocion en masa
event_type,SISMO,sismo,Earthquake,exact_dictionary_match,sismo
event_type,TORMENTAS ELECTRICAS,tormentas electricas,Thunderstorms,exact_dictionary_match,tormentas electricas
event_type,VENDAVAL,vendaval,Windstorm,exact_dictionary_match,vendaval
event_type,,,Not reported,missing_value,
impact_area,RURAL,rural,Rural,exact_dictionary_match,rural
impact_area,URB,urb,Urban,exact_dictionary_match,urb
impact_area,URBA,urba,Urban,exact_dictionary_match,urba
impact_area,URBANA,urbana,Urban,exact_dictionary_match,urbana
impact_area,URBANO,urbano,Urban,exact_dictionary_match,urbano
impact_area,URBANO Y RURAL,urbano y rural,Urban and rural,exact_dictionary_match,urbano y rural
impact_area,,,Not reported,missing_value,
known_or_handled_by,ALCALDE DE SAN ANDRES,alcalde de san andres,Alcalde of San Andres,token_dictionary_match,de
known_or_handled_by,ALCALDE DEL PEÑON,alcalde del penon,Alcalde of the Penon,token_dictionary_match,del
known_or_handled_by,ALCALDE EL CARMEN DE CHUCURI,alcalde el carmen de chucuri,Alcalde the Carmen of Chucuri,token_dictionary_match,"el, de"
known_or_handled_by,ALCALDESA DE ARATOCA,alcaldesa de aratoca,Alcaldesa of Aratoca,token_dictionary_match,de
known_or_handled_by,"ALCALDIA DE SAN ANDRES BOMBEROS DEL CERRITO, DEFENSA CIVIL GUACA",alcaldia de san andres bomberos del cerrito defensa civil guaca,Mayor's Office of San Andres Fire Department of the Cerrito Civil Defense Guaca,token_dictionary_match,"alcaldia, de, bomberos, del, defensa civil"
