date,colombia_cocoa_price_cop_kg,world_cocoa_price_usd_mt,eu_hicp_chocolate_index,cop_usd_exchange_rate,brent_oil_usd_bbl,log_colombia_cocoa_price_cop_kg,log_world_cocoa_price_usd_mt,log_eu_hicp_chocolate_index,log_cop_usd_exchange_rate,log_brent_oil_usd_bbl,colombia_cocoa_price_cop_kg_log_return,colombia_cocoa_price_cop_kg_log_return_rolling_volatility,month,world_return,fx_return,oil_return,z_col_vol,z_wld_ret,farmer_exposure_index,disaster_pressure
2021-09-01,8225.775,2558.09,104.34,3821.5376666666666,74.49,9.015027796118696,7.847016165257149,4.647654797594247,8.248408151147949,4.310664888188185,0.0021023143841225,,2021-09-01,,,,-0.9894717560492056,-0.2988784531692608,-0.6905933028799447,-0.8470594814802972
2021-10-01,8487.439999999999,2567.57,104.43,3773.384193548387,83.54,9.046342702622525,7.850715205306426,4.648516990491458,8.235727541853805,4.425325559069029,0.0313149065038285,,2021-10-01,0.0036990400492769027,-0.012680609294143608,0.11466067088084397,-0.9894717560492056,-0.2609166777506103,-0.7285550782985952,-1.0879760439129755
2021-11-01,8190.549999999999,2393.3300000000004,104.25,3902.901,81.05,9.01073632965947,7.780440980615531,4.646791860678911,8.269475401755148,4.395066248181685,-0.0356063729630544,,2021-11-01,-0.07027422469089561,0.03374785990134299,-0.03025931088734435,-0.9894717560492056,-1.0200748446376533,0.030603088588447735,0.23337470043374786
2021-12-01,8246.625,2382.39,104.29,3963.1335483870967,74.17,9.01755930471912,7.775859464472983,4.6471754801331215,8.284790291433417,4.306359755748467,0.0068229750596521,,2021-12-01,-0.004581516142547315,0.015314889678268884,-0.08870649243321793,-0.9894717560492056,-0.3458967294148241,-0.6435750266343815,-3.3478436819994037
2022-01-01,8566.960000000001,2467.36,105.35,3999.6161290322575,86.51,9.05566822287412,7.810904032109346,4.6572881402501976,8.293953667754893,4.460260014192283,0.0381089181549981,,2022-01-01,0.03504456763636288,0.009163376321476235,0.15390025844381583,-0.9894717560492056,0.06076999305812677,-0.9287017629910788,-2.794223553786549
2022-02-01,8914.925,2550.94,105.19,3935.835714285714,97.13,9.095482117474416,7.844217197677046,4.655768238751183,8.277878518044359,4.57605028741424,0.0398138946002964,0.0289859024634492,2022-02-01,0.0333131655676997,-0.016075149710534475,0.11579027322195667,-0.3273758125241782,0.043001302907603234,-0.28437450961657496,-0.7495754303489799
2022-03-01,8685.3,2459.01,105.76,3807.170967741936,117.25,9.069387220392969,7.807514108901701,4.6611723761033765,8.244641664158456,4.764308407326388,-0.0260948970814477,0.0304476903973415,2022-03-01,-0.03670308877534456,-0.03323685388590292,0.1882581199121489,-0.293985654582939,-0.6755476415801278,0.3815619869971888,1.015432358201877
2022-04-01,8487.875,2455.3500000000004,105.53,3792.982,104.58,9.04639395351243,7.806024596258474,4.658995272682999,8.240907796093667,4.649952328759984,-0.0229932668805377,0.0302524199166368,2022-04-01,-0.0014895126432277195,-0.0037338680647884814,-0.11435607856640395,-0.2984460226300541,-0.3141647284439783,0.015718705813924205,3.03663756182006
2022-05-01,8431.460000000001,2366.6200000000003,107.16,4019.07935483871,113.34,9.039725226984652,7.76921805585703,4.674323044676408,8.298808139175573,4.730392150741473,-0.0066687265277775,0.0285288202685213,2022-05-01,-0.03680654040144393,0.05790034308190606,0.08043982198148836,-0.33781648338136105,-0.6766093244341553,0.3387928410527943,4.479706415309537
2022-06-01,7926.075,2322.29,108.16,3930.766666666667,122.71,8.977913236233999,7.7503090467936335,4.683611612294654,8.276589766414325,4.809823847988456,-0.0618119907506545,0.0338117140806471,2022-06-01,-0.0189090090633961,-0.022218372761248162,0.07943169724698329,-0.21714463031442227,-0.4929340854120617,0.2757894550976394,0.0868992712957947
