2026-04-15 18:46:31,519 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-15 18:46:31,705 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-15 18:46:31,842 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-15 18:46:48,288 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-15 18:46:48,460 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-15 18:46:48,587 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-15 18:46:48,773 | INFO | v2_disaster_pipeline | classified_registry shape: rows=970 columns=78
2026-04-15 18:46:48,882 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=55 columns=23
2026-04-15 18:47:06,285 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-15 18:47:06,434 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-15 18:47:06,566 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-15 18:47:06,760 | INFO | v2_disaster_pipeline | classified_registry shape: rows=970 columns=78
2026-04-15 18:47:06,854 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=55 columns=23
2026-04-15 18:47:09,817 | INFO | v2_disaster_pipeline | Completed v2 pipeline using branch=pca_index
2026-04-15 18:47:51,871 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-15 18:47:51,976 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-15 18:47:52,106 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-15 18:47:52,305 | INFO | v2_disaster_pipeline | classified_registry shape: rows=970 columns=78
2026-04-15 18:47:52,397 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=55 columns=23
2026-04-15 18:47:55,331 | INFO | v2_disaster_pipeline | Completed v2 pipeline using branch=pca_index
2026-04-15 18:59:43,006 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-15 18:59:43,232 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-15 18:59:43,408 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-15 18:59:43,684 | INFO | v2_disaster_pipeline | classified_registry shape: rows=970 columns=78
2026-04-15 18:59:43,815 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=55 columns=23
2026-04-15 19:00:38,340 | INFO | v2_disaster_pipeline | Rendered Pandoc outputs: {'docx': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.docx', 'pdf': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.pdf'}
2026-04-15 19:00:38,342 | INFO | v2_disaster_pipeline | Completed v2 pipeline using branch=structural_fallback
