feature,loading
hydrometeorological_events,0.3109413574842786
infrastructure_impact_total,0.31066458939433794
affected_roads_total,0.3034647842672248
geophysical_events,0.2878005756397759
housing_impact_total,0.26006910650454873
damaged_houses_total,0.2577798873068579
destroyed_houses_total,0.24529421033361512
human_impact_total,0.24384902605513736
missing_persons_total,0.24256501238368885
injuries_total,0.22779034059095024
unique_municipalities,0.22703505405856395
deaths_total,0.22607571059940773
total_events,0.21731263119429664
affected_bridges_total,0.20212202164128226
affected_educational_establishments_total,0.17306253498583996
technological_anthropogenic_events,0.12831997580875684
affected_families_total,0.12014435308821973
destroyed_aqueducts_total,0.10172586889250124
earthquake_events,-0.06446834126195322
affected_hectares_total,-0.03428465525806527
infrastructure_service_events,-0.013205778359219959
