context,translation_strategy,value_count
alerts,exact_dictionary_match,1
alerts,missing_value,1
environmental_authority,exact_dictionary_match,3
environmental_authority,missing_value,1
event_status,exact_dictionary_match,2
event_status,missing_value,1
event_type,exact_dictionary_match,30
event_type,missing_value,1
impact_area,exact_dictionary_match,6
impact_area,missing_value,1
known_or_handled_by,token_dictionary_match,242
known_or_handled_by,standardized_passthrough,9
known_or_handled_by,missing_value,1
locality,token_dictionary_match,657
locality,locality_passthrough,85
locality,exact_dictionary_match,2
locality,missing_value,1
municipality,proper_noun_passthrough,94
probable_cause,exact_dictionary_match,12
probable_cause,missing_value,1
shelters,missing_value,1
