Model,Component,Coefficient,Std. error,$p$-value,N,Adj. $R^2$
Domestic levels,World cocoa benchmark,0.9903440588979108,0.03728762740012513,<0.001,53,0.9646327321941147
Domestic levels,COP/USD exchange rate,0.9019805076852888,0.1470778436537346,<0.001,53,0.9646327321941147
Domestic levels,Brent oil price,0.139500049503915,0.08374174200792975,0.096,53,0.9646327321941147
Domestic returns,World cocoa return,0.7957009138069701,0.17973868967564488,<0.001,52,0.5812447584313711
Domestic returns,FX return,0.21762365224094737,0.2042706364856921,0.287,52,0.5812447584313711
Domestic returns,Oil return,0.029216032675484255,0.06737395320630347,0.665,52,0.5812447584313711
EU levels,World cocoa benchmark,0.2959336115882513,0.12557343065487897,0.018,53,0.7266771791106913
EU levels,Colombian cocoa price,-0.06050313622343938,0.12237828121770285,0.621,53,0.7266771791106913
EU returns,World cocoa return,-0.022983733540128063,0.010086824919101746,0.023,52,-0.007254123276996038
EU returns,Colombian cocoa return,0.01700416439600988,0.012853914712022371,0.186,52,-0.007254123276996038
