Model component,Coefficient,Std. error,$p$-value,Adj. $R^2$
$\ln(P^{COL}_{t}) \leftarrow \ln(P^{WLD}_{t})$,0.9765017705336049,0.03672757822042812,<0.001,0.9663762782016054
$\ln(P^{COL}_{t}) \leftarrow$ solar radiation$_t$ ($z$),0.027689630892470972,0.015537128522334423,0.075,0.9663762782016054
$\ln(P^{COL}_{t}) \leftarrow$ precipitation$_t$ ($z$),0.023600647963881796,0.02038818729072487,0.247,0.9663762782016054
$\ln(P^{COL}_{t}) \leftarrow$ max temperature$_t$ ($z$),-0.009022525933886813,0.01856599575690032,0.627,0.9663762782016054
$\Delta \ln(P^{COL}_{t}) \leftarrow \Delta \ln(P^{WLD}_{t})$,0.7725052284097014,0.1570999849057756,<0.001,0.5951429725883288
$\Delta \ln(P^{COL}_{t}) \leftarrow$ max temperature$_{t-1}$ ($z$),0.022957585065029634,0.014722210228120099,0.119,0.5951429725883288
$\Delta \ln(P^{COL}_{t}) \leftarrow$ precipitation$_{t-1}$ ($z$),0.00342259043750834,0.009746673792705758,0.725,0.5951429725883288
$\Delta \ln(P^{COL}_{t}) \leftarrow$ solar radiation$_{t-1}$ ($z$),-0.007647254241126117,0.007846253846283447,0.330,0.5951429725883288
Domestic rolling volatility $\leftarrow$ world rolling volatility,0.9536398008955987,0.050535373956426974,<0.001,0.9170046577099505
Domestic rolling volatility $\leftarrow$ weather stress$_{t-1}$,0.013220301179996483,0.011569510031932857,0.253,0.9170046577099505
